id,"nama_matakuliah",keahlian_id
1,"Sistem Operasi",3
2,"Jaringan Komputer & Pengamanannya",3
3,"Sistem Terdistribusi",3
4,"Jaringan Komputer",3
5,"Sistem Komputer",3
6,"Pemrosesan Dan Manajemen Data Multimedia",4
7,"Project Management",5
8,"Tesis",NULL
9,"Sistem Arsitekturkomputer A",3
10,"Sistem Operasi Lanjut",3
11,"Sistem Paralel Dan Terdistribusi",3
12,"Sistem & Arsitektur Komputer A",3
13,"Tesis I",NULL
14,"Pemodelan Berorientasi Obyek & Rek. Per.",2
15,"Basis Data Multimedia",4
16,"Perancangan Perangkat Lunak",5
17,"Bisnis Secara Elektronik",NULL
18,"Rangkaian Logika Teknik Digital",10
19,"Interaksi Komputer-Manusia",5
20,"Sistem Multimedia",3
21,"Tesis Ii",NULL
22,"Rangkaian Logika & Teknik Digital",10
23,"Manajemen Proyek Teknologi Informasi",4
24,"Pengembangan Aplikasi Berorientasi Objek",1
25,"Pemrograman Paralel",1
26,"Rekayasa Perangkat Lunak Lanjut",5
27,"Sistem Digital",3
28,"Sistem Probabilistik Dan Stokastik",3
29,"Matematika Teknik I",2
30,"Agama Dan Etika Katolik",NULL
31,"Pengenalan Teknologi Informasi A",4
32,"Pancasila Dan Kewarganegaraan",NULL
33,"Pemahaman Teks Akademik",NULL
34,"Tata Tulis Karya Ilmiah",NULL
35,"Fisika Dasar Iia",NULL
36,"Ekonomi Teknik",NULL
37,"Agama Dan Etika Protestan",NULL
38,"Olah Raga",NULL
39,"Agama Dan Etika Budha",NULL
40,"Etika Hukum Cyber",NULL
41,"Manajemen Data",4
42,"Teknik Presentasi",NULL
43,"Rekayasa Interaksi",5
44,"Kalkulus Ia",2
45,"Komposisi",NULL
46,"Tugas Akhir I  Seminar",NULL
47,"Sistem Alam Semesta",3
48,"Praktikum Sistem Digital",3
49,"Rekayasa Perangkat Lunak",5
50,"Jaringan Informasi",3
51,"Manajemen Keekonomian Proyek",4
52,"Politik Dan Tata Pemerintahan",NULL
53,"Elektronika I",NULL
54,"Manajemen Insani Kontemporer",4
55,"Struktur Diskrit",2
56,"Pengembangan Organisasi Dan Organisasi P",NULL
57,"Celup Ikat",NULL
58,"Bisnis Secaraelektronik",NULL
59,"Perancangan Arsitektur Enterprise",9
60,"Perencanaanstrategis Teknologi Inf",NULL
61,"Kapita Selekta Sti",NULL
62,"Sistem Arsitekturkomputer B",3
63,"Pengetahuanlingkungan",NULL
64,"Hukum Etikateknologi Informasi",4
65,"Keamanan Informasi",4
66,"Dasar Pemrograman",1
67,"Sosiologi Komunikasi",NULL
68,"Pengantar Analisis Rangkaian",2
69,"Manajemem Pengembangan Aplikasi",1
70,"Komunikasi Merek",NULL
71,"Pemrosesan Bahasa Alami Dan Ucapan",7
72,"Visualisasi Data Dan Informasi",4
73,"Manajemen Pengembangan Aplikasi",4
74,"Manajemen Informasi B",4
75,"Pemrograman Lanjut",1
76,"Teknologi Basis Data",4
77,"Studi Mandiri Ii",NULL
78,"Manajemen Informasi A",4
79,"Topik Khusus Ii",NULL
80,"Teori Basis Data",4
81,"Studi Mandiri I",NULL
82,"Manajemen Resiko Enterprise",4
83,"Metodologipenelitian/Tesis 1",NULL
84,"Sistem Basis Data",4
85,"Sistem Basis Data Terdistribusi",4
86,"Basis Data Nonrelasional",4
87,"Basis Data",4
88,"Konsep Pengembangan Ilmu Pengetahuan",7
89,"Pemodelan Basis Data",4
90,"Manajemen Informasia",4
91,"Pengantar Rekayasa & Desain Ii",5
92,"Sistem Alam & Semesta",3
93,"Evolusi Perangkatlunak",NULL
94,"Topik Khusus Rekayasa Perangkat Lunak",5
95,"Pemrograman Komputer (Tm)",1
96,"Rekayasa Kebutuhan Sistem Perangkat Lu",3
97,"Strategi & Kebijakan",NULL
98,"Algoritma Struktur Data",1
99,"Kualitas Perangkat Lunak",5
100,"Rekayasa Kebutuhansistem  Perangkat",NULL
101,"Secure Softwaredevelopmentlife Cycle",NULL
102,"Pengenalan Teknologi Informasi B",4
103,"Metoda & Proses Pembangunan Perangkat Lu",NULL
104,"Dasar Rekayasa Perangkat Lunak",5
105,"Sinyal Sistem",3
106,"Sistem Kendali Non Linier",3
107,"Probabilitas Statistik",2
108,"Sinyal & Sistem",3
109,"Probabilitas & Statistik",2
110,"Probabilitas Statistika",2
111,"Pengolahan Sinyal Digital",NULL
112,"Rekayasa Perangkat Teknologi Informasi",4
113,"Strategi Dan Sistem Pemerintahan",3
114,"Sistem Kendali Nonlinear",3
115,"Probabilitas Danstatistik",2
116,"",NULL
117,"Tugas Akhir Ii",NULL
118,"Tugas Akhir I & Seminar",NULL
119,"Sumber Daya Informasi Enterprise",4
120,"Pemrograman Berorientasi Objek",1
121,"Sosioteknologiinformasi",NULL
122,"Pemrograman Fungsional",1
123,"Algoritma Strukturdata",1
124,"Pemodelan Data Lanjut",4
125,"Penulisan Karya Ilmiah",NULL
126,"Topik Khusus",NULL
127,"Fundamentalintelijen Bisnis",NULL
128,"Topik Khusus Sains Komputer 2",NULL
129,"Visualisasi Data",6
130,"Komunikasi Antar Personal",NULL
131,"Rekayasasistem Kerja",NULL
132,"Pemasaran Jasa",NULL
133,"Desianinteraksi,Visualisasi Dan Game",6
134,"Agama Dan Etika Hindu",NULL
135,"Kerja Praktek",NULL
136,"Teknologi Dan Manajemen Operasi",4
137,"Statistika Bisnis",2
138,"Anatomi Fisiologi Praktikum",NULL
139,"Inteligensi Kolektif",NULL
140,"Perancangan Sistem Interaksi",3
141,"Sistem Informasi Kesehatan",4
142,"Keamanan Informasi Lanjut",4
143,"Pengujian Perangkat Lunak",5
144,"Pengantar Kepariwisataan",NULL
145,"Analisa Kuantitatif Kualitatif",NULL
146,"Teknik Biomedika Praktikum",NULL
147,"Manajemen Teknologi",4
148,"Kepemimpinan Bisnis",NULL
149,"Metoda Penelitian",NULL
150,"Kerekayasaan Informasi",4
151,"Metode Formal",NULL
152,"Data Management",4
153,"Pengembangankeprofesian/Komunitasa",NULL
154,"Pengetahuan Dan Inovasi",7
155,"Pembelajaran Mesin",7
156,"Algoritma & Pemrograman B",1
157,"Keamanan Sistem  Perangkat Lunak",4
158,"Datawarehouse Datamining",NULL
159,"Manajemen Sistem Informasi",4
160,"Keamanan Perangkat Lunak",4
161,"Pembelajaran Mesin Lanjut",7
162,"Data Warehouse & Business Intelligence",4
163,"Pengembangan Intelijen Bisnis & Operas",NULL
164,"Representasi & Penalaran Pengetahuan",7
165,"Jaringan Multilayanan & Jaringan Multime",3
166,"Mikroelektronika Frekuensi Radio",NULL
167,"Kewirausahaan Teknologi Informasi",4
168,"Matematika Informatik",2
169,"Manajemen Resiko",4
170,"Otomata & Teori Bahasa Formal",NULL
171,"Strategi & Kebijakan Tek. Informasi",4
172,"Algoritma Kombinatorial",1
173,"Probabilitas & Statistika",2
174,"Matematika Diskrit",2
175,"Sistim Berkas Dan Basis Data",4
176,"Manajemen Resiko Sistem Informasi",4
177,"Teori Bahasa Dan Otomata",NULL
178,"Probabilitas  Statistika",2
179,"Tugas Akhir 2",NULL
180,"Tugas Akhir 1 & Seminar",NULL
181,"Metode Numerik Lanjut",NULL
182,"Teori Bahasa Formal Dan Otomata",NULL
183,"Manajemen Sumber Daya Sti",4
184,"Pemrogramanintegratif",NULL
185,"Matematika Sti",2
186,"Instrumentasi Sistem Kendali",3
187,"Rekayasa Sistem Multimedia",3
188,"Grafika Komputer",6
189,"Interpretasi & Pengolahan Citra",6
190,"Sistem Grafika Komputer",6
191,"Sistem Intelijen Terapan",3
192,"Sistem Intelijen",3
193,"Grafika Komputer Terapan",6
194,"Fundamental Inteligensi Buatan",NULL
195,"Metode Numerik",NULL
196,"Grafika Komputer Visualisasi",6
197,"Pemodelan & Simulasi",2
198,"Pemodelan Informasi",2
199,"Topik Khusus Sainskomputer Ii",NULL
200,"Sistem Rekognisi",3
201,"Kapita Selekta",NULL
202,"Pengenalan Pola",NULL
203,"Interpretasi Dan Pengolahan Citra",6
204,"Teknologi Multimedia",NULL
205,"Strategi Dan Pengembangan Ti",NULL
206,"Perencanaan Strategis Teknologi Informas",NULL
207,"Teori Manajemen & Organisasi",4
208,"Arsitektur Berbasis Layanan",3
209,"Perancangan Aplikasi Berbasislayanan",NULL
210,"Tata Kelola  Pengukurankinerja Tekno",NULL
211,"Manajemen Resiko Teknologi Informasi",4
212,"Sistem Komputasi",3
213,"Rekayasa Perangkat Lunak Untuk Domain Game",5
214,"It Ethics,Regulation & Cyber Law",NULL
215,"Pemodelan Dan Simulasi",2
216,"Aljabar Geometri",2
217,"Teori Komputasi",NULL
218,"Organisasi Sistem Komputer",3
219,"Information Distribution",NULL
220,"Pengenalan Informatika",NULL
221,"Rekayasa Perangkat Lunak Dasar",5
222,"Jaringan Komputer Lanjut",3
223,"Electronic Business",NULL
224,"Teknologi Sistem Komputer",3
225,"E-Bisnis",NULL
226,"Keamanan Komputer",4
227,"Perawatan Perangkat Lunak",5
228,"Sistem Berbasis Komponen",3
229,"Sistem Informasi Dan E-Commerce",4
230,"Mnj. Proyek Teknologi Informasi",5
231,"Pengantar Aplikasi Komputer",NULL
232,"Metode Penelitian",NULL
233,"Pembangunan Perangkat Lunak",5
234,"Keamanan Sistem Informasi",4
235,"Praktik Audit",NULL
236,"Konsep Teknologi",NULL
237,"Komputer Grafik",6
238,"Metode Berpikirkreatif",NULL
239,"Kriptografi",2
240,"Komunikasipembangunan",NULL
241,"Analisis Perangkat Lunak",2
242,"Agama Dan Etika Islam",NULL
243,"Kewirausahaan",NULL
244,"Pengantar Bioinformatik",NULL
245,"Fotografi Dasar",NULL
246,"Rekayasa Lingkungan",NULL
247,"Manajemen Sdm",4
248,"Dasar Rangkaian Elektrik",10
249,"Kalkulus Iia",2
250,"Sosiologi Industri",NULL
251,"Tinjauan Arsitektur Dan Interior",3
252,"Berpikir Visioner",NULL
253,"Kewirausahaan & Pengembangan Enterprais",NULL
254,"Matematika Rekayasa",2
255,"Pengantar Ekonomika",NULL
256,"Penulisan Naskahiklan",NULL
257,"Algoritma Dan Pemrograman",1
258,"Metodologi Amdal",5
259,"Pemodelan Matematika",2
260,"Tipografi Dasar",NULL
261,"Organisasi Danmanajemen Perusahaanin",NULL
262,"Psikologi Persepsi",NULL
263,"Perancangan E-Bisnis",NULL
264,"Manajemen (Ii)",4
265,"Manajemen Rekayasaindustri",4
266,"Portofolio",NULL
267,"Sistem Informasi Manajemenuas",4
268,"Communication And Networking",NULL
269,"Software Engineering",NULL
270,"Rekayasa Perangkat Lunak Berbasis Kompon",5
271,"0",NULL
272,"Intelligent Bisnis",NULL
273,"Analisis, Perancangan Berorientasi Objek",NULL
274,"Rekayasa Sistem Informasi",4
275,"Jaringan Komputer Dan Komunikasi Data",3
276,"Perencanaan Strategis Sistem Informasi",4
277,"Perancangan Perangkat Lunak Si",5
278,"Analisis Perancanganberorientasi Obj",2
279,"Sistem Penunjang Keputusan Dan Sis Pakar",3
280,"Manajemen Proyek Dan Perubahan",5
281,"Manajemen Proyekperangkat Lunak",4
282,"Rekayasa Perangkat Lunak I",5
283,"Analisis Data & Bisnis",2
284,"Manajemen Rekayasaperangkat Lunak",4
285,"Keamanan Sistem & Perangkat Lunak",4
286,"Technopreneurship",NULL
287,"Rekayasa Perangkat Lunak Ii",5
288,"Perenc. Strategis Sistem Informasi",4
289,"Manajemen Kualitas Perangkat Lunak",4
290,"Sistem Informasi Manajemen",4
291,"Proyek Perangkat Lunak",5
292,"Elektronika Daya",NULL
293,"Rangkaian Elektrik",10
294,"Kendali Mesin Elektrik",7
295,"Pra Tesis",NULL
296,"Teknik Tenaga Elektrik (Msmg)",NULL
297,"Dasar Pemrograman Berorientasi Obyek",1
298,"Pemrograman Web",1
299,"Pemrograman Sistem",1
300,"Pemrograman Internet",1
301,"Algoritma & Pemrograman Ia",1
302,"Algoritma & Pemrograman Ib",1
303,"Algoritma & Struktur Data",1
304,"Secure Programming",NULL
305,"Pengembanganaplikasi Berbasisweb",NULL
306,"Pengembanganaplikasi Padaplatform Kh",NULL
307,"Pengembangan Aplikasi Piranti Bergerak",1
308,"Algoritma Dan Struktur Data",1
309,"Pemodelan Enterprise",2
310,"Dasar-Dasar Pemrogramanrekayasa Hayati",NULL
311,"Dasar Teknik Elektro",NULL
312,"Pengantar Teknik Komputer",NULL
313,"Pengantar Rangkaian Elektrik",10
314,"Perencanaan Tek. & Sist. Informasi",4
315,"Sinyal Dan Sistem",3
316,"Rekayasa Trafik & Perancangan Jar. Multi",NULL
317,"Kapita Selekta Teknik Komputer",NULL
318,"Etika Profesi Dan Bisnis Bidang Komputer",8
319,"Manajemen Inovasi",4
320,"Sistem Keamanan Komputer",4
321,"Jaringan Komunikasi Dan Komputer",3
322,"Pengantar Teknik Elektro",NULL
323,"Rekayasa Traffik",NULL
324,"Penelitian Industri Digital",NULL
325,"Manajemen Sumber Daya Manusia Teknologi",4
326,"Organisasi Teknologi Informasi",4
327,"#Na",NULL
328,"Bisnis Telekomunikasi",NULL
329,"Analisa Perancangan Proses Bisnis",NULL
330,"Perencanaan Sistem & Teknologi Informasi",4
331,"Pengantar Ilmu Ekonomi",NULL
332,"Kendali Sistem Cerdas",3
333,"Manajemen Perubahan",4
334,"Nilai Resiko Teknologi Informasi",4
335,"Layanan Sistem Dan Teknologi Informasi",4
336,"Riset Inovasi Teknologi Informasi",4
337,"Jaringan Informasi & Sosial",3
338,"Perancangan Layanan Teknologi Informas",5
339,"Rekayasa Sistem Dan Teknologi Informasi",4
340,"Jaringan Informasi Dan Sosial",3
341,"Rekayasa Layanan Teknologi Informasi",5
342,"Sistem Embedded Waktu Nyata",3
343,"Arsitektur & Manajemen Tek. Informasi",4
344,"Tatakelola Dan Audit Teknologi Informasi",4
345,"Arsitektur Manajemen Teknologi Informa",3
346,"Manajemen Kinerja & Assurance Teknologi",4
347,"Tatakelola & Audit Teknologi Informasi",4
348,"Sistem Dan Manajemen Teknologi Infor",4
349,"Keprofesian Sti",8
350,"Sistem Layanan Cerdas",3
351,"Manajemen Operasional Layanan Teknolog",4
352,"Matematika Teknik Lanjut",2
353,"Perilaku Dinamis Mesin Elektrik",7
354,"Elektronika Daya Lanjut",NULL
355,"Sistem Transportasi Elektrik",3
356,"Hukum Perlindungan Anak",NULL
357,"Bahasa Indonesia Hukum",NULL
358,"Elektronika Dayalanjut",NULL
359,"Pengantar Sistem Tenaga Elektrik",3
360,"Proyek Perangkatlunak",5
361,"Praktikum Pengolahan Sinyal Digital",NULL
362,"Perencanaan Dan Manajemen Teknologi Info",4
363,"Arsitektur Sistem Komputer",3
364,"Kerja Mandiri I",NULL
365,"Praktikum Arsitektur Sistem Komputer",3
366,"Aplikasi Inteligensi Buatan",NULL
367,"Tugas Akhir I",NULL
368,"Sistem Informasi Enterprise",4
369,"Inteligensi Buatan",NULL
370,"Sistem Berbasis Pengetahuan",3
371,"Sistem Berbasispengetahuan",3
372,"Sistem Informasienterprise",3
373,"Manajemen Proyek Perangkat Lunak",5
374,"Sistem Informasi",4
375,"Manajemen Proyek Sti",5
376,"Representasipengetahuan Danpenalaran",NULL
377,"Socio-Informatika Dan Profesionalisme",8
378,"Socio-Informatikadanprofesionalisme",NULL
379,"Basis Data Non Relasional",4
380,"Manajemen Basis Data",4
381,"Strategi Algoritmik",NULL
382,"Strategi Algoritma",1
383,"Keperawatan Anak Ii",NULL
384,"Psikologi Kesehatan",NULL
385,"Topik Khusus Sainskomputer I",NULL
386,"Analisis Kebutuhan Sistem",2
387,"Pengantar Teknologi Informasi",4
388,"Pengantar Teknologi Informasi Dan Algoritma",4
389,"Multimedia Database",NULL
390,"Computer Organizations",NULL
391,"Introduction To It",NULL
392,"Object Oriented Programming",NULL
393,"Programing Concept",NULL
394,"Programming Concept",NULL
395,"Algoritma & Pemrograman A",1
396,"Sistem Temu Balik Informasi",4
397,"Logika Informatik",2
398,"Internship I",NULL
399,"Image Processing",NULL
400,"Formal Language Automata",2
401,"Sistem Informasi Multimedia",4
402,"Artificial Intelligence",7
403,"Comparative Programing Language Gui",NULL
404,"Model Simulasi",2
405,"Database Design",NULL
406,"Algorythmic Strategies",NULL
407,"Algorithmic Strategies",NULL
408,"Teknik Kompilasi",NULL
409,"Principles Introduction To Marketing",NULL
410,"It Projject Management",5
411,"Business Process Analysis",NULL
412,"Introduction To Information Technology",NULL
413,"Programming Concepts",NULL
414,"Database System",NULL
415,"Is Project Management",5
416,"Engineering Mathematics I",NULL
417,"Introduction To It Computing",NULL
418,"Thesis",NULL
419,"Product Design Development",NULL
420,"Internship Ii",NULL
421,"Pengantar Teknologi Internet",NULL
422,"Computer Aided Engineering",NULL
423,"Information Technology Project Manajemen",5
424,"Sistem Temu Balikinformasi",3
425,"Logika Informatika",2
426,"Information System Analysis Design",NULL
427,"Internet Programming",NULL
428,"E-Business",NULL
429,"Matrix And Vector",NULL
430,"Paradigma Pemrograman",1
431,"Kualitas Data",4
432,"Distributed System",NULL
433,"It Project Management",5
434,"Data Structure Algorytms",4
435,"Computer Ethics",NULL
436,"Physics Ii",NULL
437,"Distributed Systems",NULL
438,"Machine Learning",7
439,"Algoritma  Pemrograman A",1
440,"Analisa Algoritma",1
441,"Security Systems",4
442,"Computer Vision",NULL
443,"Seminar",NULL
444,"Data Mining",4
445,"Information Retrieval Systems",NULL
446,"Skripsi",NULL
447,"Information Retrieval",NULL
448,"Internship",NULL
449,"Web Design",1
450,"Computer Graphics And Animations",6
451,"Database Management System",5
452,"Intelegensia Buatan",NULL
453,"Lab Komputer Akuntansi",NULL
454,"Lab Akuntansi Keuangan Lanjutan",NULL
455,"Akuntansi Keuangan Lanjutan",NULL
456,"Laboratorium Sistem Informasi Akuntansi",4
457,"Pengantar Akuntansi 1",NULL
458,"Lab. Komputer Akuntansi",NULL
459,"Pengantar Akuntansi 2",NULL
460,"Lab Akuntansi Keuangan Menengah",NULL
461,"Simulasi Permodelan",2
462,"Komputasi Paralelsistem Waktu Nyata",NULL
463,"Sistem Nyata-Waktu & Processor Embedded",3
464,"Arsitektur Komputer Lanjut",3
465,"Metodologi Dan Orientasi Riset",5
466,"Metodologi Penelitian",5
467,"Sistem Nyata-Waktu",3
468,"Arsitektur Komputer & Desain",3
469,"Manajemen Keuangan",4
470,"Disertasi 2",NULL
471,"Arsitektur Komputer",3
472,"Keuangan Internasional *",NULL
473,"Seminar Bidang Kajian",NULL
474,"Pra Penelitian Proposal",NULL
475,"Arsitektur Sistem Komputer Ii",3
476,"Arsitektur Komputer Lanjut I",3
477,"Proses Stokastik",NULL
478,"Elektronika Digital Lanjut",NULL
479,"Komunikasi Fiber Optik",NULL
480,"Sosiologi Hukum",NULL
481,"Filsafat Ilmu Pengetahuan",7
482,"Farmakologi Dasar",NULL
483,"Fisika Sistem Hidup",3
484,"Strategic Information Planning",NULL
485,"Enterprise Information System",9
486,"Kontrol & Audit Sistem Informasi",4
487,"Proses Bisnis",NULL
488,"Perencanaan Informasi Strategik",4
489,"Rekayasa Ulang Sistem",3
490,"Rekayasa Ulangsistem",NULL
491,"Tatakelola Sistem Informasi",4
492,"Perencanaan Informasi Strategis",4
493,"Strateji & Kebijakan Sistem Informasi",4
494,"Proses Dan Pemodelan Enterprise",2
495,"Analisis Kebutuhan Informasi",2
496,"Analisis Kebutuhanenterprise",2
497,"Audit Teknologi Informasi",4
498,"Tatakelola Enterprise",9
499,"Arsitektur Enterprise",9
500,"Hukum & Etika Teknologi Informasi",4
501,"Kerekayasaan Enterprise",9
502,"Wirelessmobile Computing",NULL
503,"Bio Informatika",NULL
504,"Sistem Komputasi Nirkabel Dan Bergerak",3
505,"Kecerdasan Buatan",7
506,"Pengantar Telekomunikasi",NULL
507,"Topik Khusus I",NULL
508,"Interaksi Manusia Komputer",5
509,"Teknologi Mesin Pencari",7
510,"Interaksi Manusia & Komputer",5
511,"Pengembangankeprofesian/Komunitas B",NULL
512,"Penulisan Konferensi International I",NULL
513,"Penulisan Konferensi Nasional Ii",NULL
514,"Penulisan Journal Nasional I",NULL
515,"Ujian Disertasi",NULL
516,"Penulisan Journal International",NULL
517,"Ujian Kualifikasi",NULL
518,"Penulisan Konferensi Internasional Ii",NULL
519,"Penulisan Konferensi Nasional I",NULL
520,"Penulisan Journal Nasional Ii",NULL
521,"Penyusunan Proposal",NULL
522,"Penulisan Journal Nasional Iii",NULL
523,"Interaksi Manusia  Komputer",5
524,"Sistem Informasi Intellijen",4
525,"Algoritma & Pemrograman C",1
526,"Algoritma Pemrograman I",1
527,"Struktur Data",4
528,"Spking Skill  In News & Bsn Presentation",NULL
529,"Sistem Operasi Komputer",3
530,"Algoritma & Pemrograman",1
531,"Komunikasi Interpersonal",NULL
532,"Statistika",2
533,"Dasar Intelegensia Artifisial",NULL
534,"Inteligensia Artifisial Terdistribusi",3
535,"Sistem Cerdas Lanjut",3
536,"Pemrograman & Aplikasi Internetweb",1
537,"Kecerdasan Artifisial & Komputasional",NULL
538,"Sistem Kendali Cerdas",3
539,"Kendali Kokoh",NULL
540,"Kendali Robust",NULL
541,"Intelegensia Artifisial Terdistribusi",3
542,"Kendali Optimal",NULL
543,"Kendali Dan Sistem Cerdas",3
544,"Pemodelan Simulasi Sistem Fisiologis L",2
545,"Dasar Sistem & Kendali Cerdas",3
546,"Pemrosesan Bahasa Alami",7
547,"Perancangan Sistem Biomedika",3
548,"Sistem Informasiintellijen",3
549,"Wirausahadesain",NULL
550,"Manajemen Sumber Daya Informasi",4
551,"Branding",NULL
552,"Narasi Visual",NULL
553,"Manajemen Proyek",5
554,"Organisasi & Arsitektur Komputer",3
555,"Hukum Lingkungan",NULL
556,"Pemrosesan Text Dansuara Bahasaalami",NULL
557,"Metode Statistika",2
558,"Komputasi Matematika",2
559,"Pengkodean Informasi Dan Kompresi Data",4
560,"Sistem Dsp Vlsi",3
561,"Kompresi Data Dan Multimedia",4
562,"Perancangan Sistem Dsp",3
563,"Pengenalan Teknologi Informasi C",4
564,"Manajemen Investasiteknologiinformas",4
565,"Praktikumteknik Elektro I",NULL
566,"Metoda Komputasi Untuk Gel. Mikro & Gel.",NULL
